fsid,tractfp,arealotacres,areabuilding,bedroomscount,yearbuilt,unitscount,beachprox,fld_zone,near_golf,singfam,x,y
240472086175,24047950400,0.2582645,3614,0,2005,1,0,X,0,1,-75.1489213410472,38.3407273908858
240472086176,24047951500,0.2984389,2480,0,1900,1,0,X,1,1,-75.5631301988057,38.072275173127
240472086181,24047950600,0.2234848,1284,0,1994,1,0,X,1,1,-75.168028692469,38.3857457571793
240472086184,24047951400,0.4800046,1960,0,1920,1,0,X,0,1,-75.4085307203508,38.0529415247256
240472086185,24047951300,0.6371671,2022,0,1900,1,0,X,0,1,-75.3954233952903,38.1701343908983
240472086186,24047950800,0.65,1040,0,1950,1,0,X,0,1,-75.2580980710785,38.3769293283062
240472086188,24047951400,12.5699954,844,0,1971,1,0,X,0,0,-75.5670884665518,38.2230044253511
240472086189,24047950800,5.2300046,2801,0,1977,1,0,X,1,1,-75.2761340864512,38.3641096416784
240472086191,24047951300,0.1033058,462,0,1920,1,0,X,0,1,-75.3891277389844,38.1752507948317
240472086194,24047950700,0.0459137,696,0,1991,1,1,X,0,1,-75.1621990220163,38.402659788829
240472086195,24047950400,0.1147842,828,0,1950,1,1,X,0,1,-75.1033398296719,38.3441952221207
240472086202,24047951200,1.1600092,1986,0,1983,1,0,X,0,1,-75.4633070421087,38.2300257986505
240472086205,24047951400,1.3899908,2624,0,2007,1,0,X,0,1,-75.5335413819596,38.0690379105287
240472086208,24047951100,0.3651745,2790,0,1984,1,1,X,0,1,-75.1351315069014,38.3813150845311
240472086211,24047951300,0.1119376,1711,0,1900,1,1,X,0,1,-75.3952203807241,38.1739322577757
240472086215,24047951100,0.1294307,1568,0,2001,1,1,X,0,1,-75.1511042680283,38.3747831136669
240472086220,24047951300,0.3140496,1558,0,1900,1,0,X,0,1,-75.3906875687503,38.172506493925
240472086221,24047951300,0.1841139,1811,0,2009,0,0,X,0,1,-75.3865718701175,38.1676581966659
240472086223,24047951100,0.3581038,1344,0,1983,1,1,X,0,1,-75.1342428610169,38.3786522070316
240472086225,24047951100,0.1838384,2640,0,2006,1,1,X,0,1,-75.1311372439383,38.3662470220486
240472086226,24047950700,0.2024793,1632,0,1985,1,0,X,1,1,-75.1680004991262,38.3928360189219
240472086227,24047950700,0.0609963,684,0,1985,1,1,AE,0,1,-75.1613627769234,38.404652119922
240472086228,24047950600,0.3309917,2374,0,1998,1,1,X,0,1,-75.1616237255006,38.3949173818575
240472086229,24047951100,0.1928375,1056,0,1993,1,0,X,0,1,-75.1604090132666,38.3668718679545
240472086234,24047951700,0,902,0,2005,0,0,X,0,0,-75.1146389854286,38.3313893681901
240472086237,24047951100,1.1399908,2963,0,1999,1,1,X,0,1,-75.1416598727683,38.3689035505102
240472086239,24047951500,0.2773416,1100,0,1995,1,0,X,1,1,-75.5598390580313,38.0708261116311
240472086240,24047951000,8.1100092,54888,0,1996,0,0,X,0,0,-75.2113511130227,38.3335640123394
240472086241,24047950700,0.2262167,1432,0,1992,1,0,X,1,1,-75.1715430443777,38.3943595352269
240472086242,24047950600,0.246832,1468,0,1989,1,0,X,1,1,-75.1666547439885,38.3888038765268
240472086243,24047951100,0.2322314,1400,0,1991,1,0,X,0,1,-75.1479672010325,38.3851612402609
240472086245,24047951100,0.2091368,2704,0,1991,1,0,X,0,1,-75.1581672876391,38.3644339966009
240472086246,24047951700,0.0688705,748,0,1991,1,1,X,1,1,-75.137082806169,38.2932043917335
240472086247,24047951100,0.2009183,2954,0,2008,1,1,X,0,1,-75.1323551947202,38.3654983386013
240472086252,24047951100,0.2809458,4053,0,2000,1,1,X,0,1,-75.1259371235246,38.3778842629812
240472086253,24047951400,0.25,1017,0,2005,1,0,X,0,1,-75.4165100767748,38.0941021282029
240472086259,24047950800,0.5224977,1248,0,1960,1,0,X,0,1,-75.2273890793525,38.3277325012215
240472086260,24047950600,0.4035354,1923,0,1980,1,1,AE,0,1,-75.1417989338085,38.3986308519611
240472086261,24047950600,0.2933884,2332,0,1998,1,1,X,0,1,-75.1367964126062,38.3901848312096
240472086267,24047950900,0.1721763,5236,0,2006,1,1,X,0,1,-75.1526592236115,38.3520423962388
240472086269,24047951300,0.257989,1064,0,1950,1,0,X,0,1,-75.3910120198352,38.1724838071523
240472086272,24047951500,0.0547062,1512,0,2006,0,0,X,1,1,-75.5552978810903,38.0704200832653
240472086274,24047950900,1.0034894,1152,0,1972,1,1,X,0,1,-75.2378677548121,38.2620057637788
240472086276,24047950600,0.1147842,1498,0,1978,1,1,AE,0,1,-75.1427473216634,38.3985634291457
240472086277,24047951000,0.75,2576,0,1935,1,0,X,0,1,-75.2019557273225,38.3199679796502
240472086280,24047951700,0.0688705,408,0,1992,1,1,X,1,1,-75.1379165309366,38.2935488741601
240472086287,24047950600,0.2381084,2495,0,1997,1,1,X,0,1,-75.1580303469307,38.3972981681302
240472086290,24047950400,0.2066116,2020,0,1971,1,1,AE,0,1,-75.1243691025199,38.352804692527
240472086295,24047951100,0.3362948,1288,0,1997,1,1,X,0,1,-75.1490626748922,38.3867636192081
240472086296,24047950700,0.2284894,1549,0,1983,1,1,X,0,1,-75.1531752156357,38.3970102154659
240472086297,24047951000,0.3461203,1936,0,1940,1,0,X,0,1,-75.2179462467205,38.3311311341129
240472086299,24047951100,0.1788567,1121,0,1996,1,0,X,0,1,-75.1537100189227,38.3652446946399
240472086300,24047951100,0.1922406,2084,0,2006,1,0,X,0,1,-75.1512242973197,38.3658805010574
240472086306,24047950600,0.2114325,1972,0,1989,1,1,X,0,1,-75.1409452109298,38.3941634881462
240472086312,24047951700,0.2387511,720,0,1975,1,1,AE,0,1,-75.1056034295755,38.3306674260985
240472086319,24047951700,0.1266299,1248,0,1992,1,0,X,0,1,-75.1208975111119,38.3227832806074
240472086323,24047951000,0.3399908,1410,0,2005,0,0,X,0,1,-75.1983565355139,38.3095304935151
240472086327,24047951100,0.3013085,2332,0,1993,1,1,X,0,1,-75.1301176181176,38.3800033700458
240472086329,24047951000,4.4,20130,0,1984,0,0,X,0,0,-75.2019445755409,38.3400790900781
240472086330,24047951100,0.1721763,2164,0,1992,1,1,AE,0,1,-75.1488105553581,38.3789887669601
240472086331,24047951000,0.2295684,1500,0,1930,1,0,X,0,1,-75.2126740124187,38.3333148454275
240472086332,24047950900,1,1728,0,2014,1,0,X,0,1,-75.1958189758392,38.2982758477736
240472086333,24047950700,0.2257805,1024,0,1989,1,0,X,1,1,-75.1642438789409,38.3933906337045
240472086340,24047950400,0.2869605,2811,0,2005,1,0,X,0,1,-75.1480196499094,38.3406871999013
240472086345,24047950700,0.2238292,1332,0,1972,1,0,X,1,1,-75.1645669802295,38.3922940547832
240472086346,24047950600,0.2114325,2241,0,1993,1,1,AE,0,1,-75.1386421249683,38.3922594381829
240472086348,24047951100,0.2260331,2029,0,1996,1,0,X,0,1,-75.1574355939049,38.3652565535898
240472086351,24047951100,0.1383609,1688,0,2002,1,1,X,0,1,-75.1516228928663,38.3758439612454
240472086352,24047951000,0.3332645,3124,0,2006,0,0,X,0,1,-75.2074122146525,38.3168607726993
240472086362,24047951500,0.1629936,1369,0,1900,1,1,AE,0,1,-75.5770686676452,38.0674347082672
240472086363,24047951500,0.2233012,1100,0,1999,1,0,X,1,1,-75.561935345343,38.0719889181177
240472086366,24047950400,0.2066116,1642,0,2007,1,1,X,0,1,-75.1206911924511,38.3524436374877
240472086368,24047951700,0.1499311,1650,0,1987,1,0,X,1,1,-75.122342281335,38.3218301860085
240472086370,24047951100,0.3642103,3080,0,2005,1,1,X,0,1,-75.1556455974011,38.3805632832729
240472086371,24047951700,0,842,0,1998,0,1,X,0,0,-75.1140299139757,38.3269496790572
240472086372,24047950700,0.0528466,396,0,1985,1,1,X,0,1,-75.1626541425062,38.4031273545931
240472086375,24047951700,0.1652893,1592,0,1991,0,0,X,0,1,-75.1182069656744,38.3232637273769
240472086376,24047951700,0.460101,10160,0,1998,0,1,X,0,0,-75.1125745126012,38.3277081352116
240472086379,24047950600,0.2410468,1864,0,1989,1,1,X,0,1,-75.1572179311175,38.3889763050044
240472086380,24047951700,0.0688705,748,0,1991,1,1,X,1,1,-75.13712810411,38.2927472999947
240472086381,24047951100,0.1971763,2170,0,2005,1,1,X,0,1,-75.1308051425161,38.3668860745937
240472086382,24047951700,0.2621212,3430,0,2006,1,1,X,1,1,-75.1349081502214,38.2992253356471
240472086384,24047951700,0,962,0,1992,0,1,X,0,0,-75.1133280026145,38.3267267502024
240472086389,24047951100,0.2410468,2462,0,1988,1,1,X,0,1,-75.137733344728,38.3754480088514
240472086394,24047951700,0.070225,748,0,1995,0,1,X,1,1,-75.1387049507316,38.2913238859216
240472086396,24047951000,0.4732323,1152,0,1991,1,0,X,0,1,-75.208169995264,38.3277272882497
240472086397,24047951700,3.3,1946,0,1934,1,1,AE,1,1,-75.1227050693493,38.3005370721184
240472086399,24047950700,0.0580808,748,0,2000,1,1,AE,0,1,-75.1612256982312,38.4046631234134
240472086402,24047951300,0.1836547,800,0,1960,1,1,X,0,1,-75.4028599929967,38.1713859520129
240472086405,24047951000,0.2529385,2128,0,2005,0,0,X,0,1,-75.2086472269458,38.3198590404758
240472086408,24047951400,19.5,1176,0,1980,1,1,A,0,1,-75.5235816520553,38.0920097091785
240472086409,24047951100,0.1676309,1672,0,1996,1,1,X,0,1,-75.131720284698,38.38764909437
240472086413,24047951000,0.2528466,1476,0,2005,0,0,X,0,1,-75.2092679564062,38.3217191737394
240472086419,24047951100,0.1068182,1688,0,2005,1,0,X,0,1,-75.1555525778005,38.3699237128982
240472086424,24047951100,1.25,2896,0,2016,1,1,AE,0,1,-75.1318695468951,38.3640233874956
240472086425,24047951200,0.3213958,2014,0,1950,1,1,X,0,1,-75.2882916250762,38.1478025043291
240472086429,24047951400,1,1560,0,2005,1,0,X,0,1,-75.4271509400672,38.0569002586069
240472086432,24047951100,0.2238292,1712,0,1996,1,0,X,0,1,-75.1446647658177,38.3842698490017
240472086438,24047951300,0.2027778,2216,0,2007,0,0,X,0,1,-75.3867980764402,38.1685969735233
240472086439,24047951100,0.1876492,1461,0,2000,1,0,X,0,1,-75.1412813777519,38.3840902885931
240472086440,24047950600,0.2679522,1576,0,1997,1,1,X,0,1,-75.159411263398,38.3879304631031
240472086442,24047950600,0.2569559,2412,0,1984,1,1,X,0,1,-75.1519492952528,38.3906172605861
240472086443,24047951000,0.0880624,1260,0,1900,1,0,X,0,1,-75.2199655073386,38.3239398115082
240472086448,24047951500,0.0514233,861,0,1955,1,0,X,1,1,-75.5646897779512,38.0743606874915
240472086454,24047951700,0.0790863,748,0,1993,1,1,X,1,1,-75.1390472174641,38.2949651653259
240472086455,24047950600,0.2238292,1529,0,1997,1,0,X,1,1,-75.1695445206745,38.3871340783212
240472086457,24047950400,0.3514463,3348,0,1997,1,0,X,0,1,-75.108966172754,38.3452142882243
240472086458,24047950800,1.15,3180,0,1983,1,1,AE,0,1,-75.170866786515,38.4186267221566
240472086459,24047950600,0.2156566,1554,0,1996,1,1,X,0,1,-75.1544489432595,38.3946805968884
240472086467,24047950800,0.2840909,2516,0,2003,1,0,X,0,1,-75.225818572299,38.3247395404406
240472086470,24047950700,0.4033517,3173,0,1988,1,1,AE,0,1,-75.1682686794788,38.4063006217748
240472086471,24047951100,0.1832874,1056,0,1990,1,0,X,0,1,-75.1509449041405,38.3679125672371
240472086472,24047950400,0.224977,1452,0,1992,1,1,X,0,1,-75.1139787434675,38.3485872972526
240472086474,24047950600,0.2374426,1120,0,1984,1,0,X,1,1,-75.1730272722621,38.3873898120274
240472086475,24047950700,0.2238292,1200,0,1985,1,0,X,1,1,-75.1713519634598,38.3889861670688
240472086480,24047951200,2.25,2208,0,1958,1,0,X,0,1,-75.3499193677411,38.209617957526
240472086481,24047951700,0.1608815,1836,0,1990,1,0,X,0,1,-75.1153373529428,38.3243421274052
240472086484,24047951100,0.4459137,2712,0,2006,1,1,X,0,1,-75.1400760317878,38.3675194046638
240472086489,24047951400,3,1645,0,2007,1,0,X,0,1,-75.4078686001061,38.0525290653896
240472086504,24047951300,0.6985308,1008,0,1997,1,0,X,0,1,-75.4082213325526,38.1535965031719
240472086505,24047950900,10.4899908,3054,0,1995,1,0,X,1,1,-75.1872121892216,38.3526389140372
240472086513,24047950400,2.3e-05,1580,0,2003,1,1,X,0,0,-75.1024375242024,38.3392299872078
240472086514,24047950800,2.0300046,550,0,1965,1,0,X,0,1,-75.2449133282258,38.431097649632
240472086519,24047951200,1,2714,0,1970,1,0,X,0,1,-75.3487897845713,38.2968702487942
240472086521,24047950400,1.15,1720,0,1987,1,0,X,0,1,-75.1398137009188,38.3391053786114
240472086523,24047951700,0.1320937,1512,0,1987,1,0,X,1,1,-75.1218850836031,38.3210702534938
240472086530,24047951000,1.35,2199,0,2002,1,0,X,0,1,-75.2144408651066,38.3270348795085
240472086531,24047951100,0.2238292,1980,0,1999,1,1,X,0,1,-75.1448138821803,38.3823624673233
240472086532,24047951000,0.1767677,720,0,1950,1,0,X,0,1,-75.2168163582918,38.3315884869927
240472086535,24047951700,0.0688705,744,0,2003,1,1,X,1,1,-75.1345200267569,38.2913861984896
240472086544,24047951300,0.1836547,1424,0,1957,1,0,X,0,1,-75.3915524337208,38.1688493891844
240472086545,24047951700,0.2346648,1687,0,2004,1,1,X,0,1,-75.1137461062416,38.3226324367381
240472086546,24047951200,1.15,3658,0,2007,0,0,X,0,1,-75.2953747658897,38.1460314062135
240472086547,24047950400,0.2070937,2652,0,1995,1,1,X,0,1,-75.1112940949551,38.3485252539346
240472086549,24047950600,0.5657713,2019,0,1995,1,1,X,0,1,-75.1571035363142,38.390494230485
240472086552,24047951100,0.2278007,1186,0,1989,1,0,X,0,1,-75.1587684419784,38.3684238038572
240472086554,24047951100,0.2939853,1400,0,1978,1,1,X,0,1,-75.146549796218,38.3709442739265
240472086558,24047951100,0.1251837,2540,0,2001,1,0,X,0,1,-75.1586780538821,38.3744576170024
240472086559,24047951400,6.75,2916,0,1974,1,0,X,0,1,-75.5197284703928,38.2654203725352
240472086562,24047951100,0.2238292,1728,0,1989,1,1,X,0,1,-75.1334068042914,38.3796388385256
240472086564,24047950600,0.4032828,2766,0,2003,1,1,X,0,1,-75.1524876813125,38.3902637468977
240472086568,24047951700,0.1147842,2700,0,2009,1,1,AE,1,1,-75.1310303952124,38.2939447205323
240472086569,24047950600,0.2456841,1992,0,1983,1,1,X,0,1,-75.1616077200384,38.3931093898736
240472086570,24047950400,0.2020202,2345,0,1992,1,1,X,0,1,-75.1110189316575,38.3484749157279
240472086571,24047950600,0.2114325,2652,0,2001,1,1,AE,0,1,-75.1382161349292,38.3926226089157
240472086575,24047950400,0.1704545,1919,0,2003,1,1,AE,0,1,-75.119167519189,38.3566722966617
240472086576,24047950800,1.0100092,1271,0,1935,1,0,X,0,0,-75.3505267877955,38.3096023691628
240472086577,24047951100,0.1721763,1218,0,2001,1,0,X,0,1,-75.1630398987589,38.3710802888517
240472086581,24047951700,0,486,0,1987,1,0,X,0,0,-75.111396445524,38.3316467256641
240472086583,24047951000,0.2099862,902,0,1945,1,0,X,0,1,-75.2100029124463,38.3082046689062
240472086586,24047950700,0.2238292,1447,0,1996,1,0,X,1,1,-75.1817481185905,38.3885411471076
240472086587,24047950700,0.2238292,1232,0,1993,1,0,X,1,1,-75.1641178048317,38.3990395138787
240472086590,24047950700,0.3288797,1400,0,1973,1,1,AE,0,1,-75.1561066681525,38.4022956898576
240472086591,24047950400,0.1896924,1494,0,2001,1,1,X,0,1,-75.1101295336189,38.3470027858912
240472086593,24047950400,0.137741,988,0,1962,1,1,X,0,1,-75.1162417139626,38.3527894321555
240472086594,24047950700,0.1767677,1232,0,1984,1,1,X,0,1,-75.158867969836,38.3978864232026
240472086595,24047951100,0.2206382,1248,0,1982,0,0,X,0,1,-75.1501567946509,38.384788839259
240472086596,24047951100,0.462236,4183,0,1995,1,1,AE,0,1,-75.1264506717843,38.3773564555029
240472086598,24047951700,1.9300046,20845,0,2004,1,1,X,0,0,-75.1278124993583,38.3385144584222
240472086607,24047951100,0.2260331,1330,0,2014,1,0,X,0,1,-75.151750578817,38.3687549835191
240472086608,24047951100,0.1678604,2397,0,2002,1,1,X,0,1,-75.1528540375858,38.3765657609363
240472086610,24047951100,0.1189164,1230,0,2005,1,1,X,0,1,-75.1562886822546,38.377294814245
240472086615,24047951000,0.2469238,1552,0,1900,1,0,X,0,1,-75.221831706941,38.3266586042047
240472086616,24047951100,0.2238292,960,0,1982,1,0,X,0,1,-75.1464287276269,38.384357665105
240472086617,24047951100,0.2238292,1201,0,1993,1,1,X,0,1,-75.1415876409185,38.3781393253157
240472086618,24047951400,1.4199954,1808,0,1940,0,0,X,0,1,-75.4997105318551,38.2536215022425
240472086619,24047951400,1.7100092,1900,0,2005,1,0,X,0,1,-75.4592323591049,38.0446175678548
240472086620,24047950600,0.2114325,1512,0,1983,1,1,AE,0,1,-75.1499731113219,38.3972382158524
240472086627,24047950400,0.2984389,1275,0,1973,1,1,AE,0,1,-75.100191430113,38.3450083750753
240472086628,24047951100,0.2589532,2493,0,2010,1,1,X,0,1,-75.1310002139588,38.3824035037984
240472086630,24047951100,0.1660468,2808,0,2001,1,1,X,0,1,-75.1495683781879,38.3740436324855
240472086631,24047950800,1,960,0,1975,1,0,X,0,1,-75.2985037291749,38.3377934784035
240472086634,24047950400,0.3173554,2464,0,2013,1,1,AE,0,1,-75.1188034232578,38.3574495443783
240472086637,24047950400,0.2086777,2013,0,1989,1,1,AE,0,1,-75.1204797701134,38.3574302842911
240472086639,24047950800,1.7100092,2052,0,2006,1,0,X,0,1,-75.2928509371417,38.3851103991358
240472086641,24047951700,0.070225,504,0,1997,1,1,X,1,1,-75.1392560402075,38.2912287162247
240472086646,24047951700,1.2399908,3287,0,2002,1,1,X,1,1,-75.1642122118757,38.240562367517
240472086648,24047950600,0.181933,1890,0,1997,1,1,X,0,1,-75.138014273221,38.3948519431285
240472086651,24047951100,0.3213958,3502,0,2015,1,1,X,0,1,-75.1277427561946,38.3800141821408
240472086654,24047951200,2.15,1120,0,1981,1,0,X,0,1,-75.3494411682178,38.1281173235453
240472086657,24047950400,0.312213,2832,0,1989,1,1,X,0,1,-75.1037705677015,38.3470219037687
240472086658,24047950400,0.2471074,1848,0,1947,1,1,AE,0,1,-75.101152806191,38.3454635007662
240472086665,24047951100,0.2621671,1482,0,1985,1,0,X,0,1,-75.1643167018155,38.3672716774238
240472086666,24047951100,0.1883609,1536,0,1994,1,0,X,0,1,-75.1624307931217,38.3676843612964
240472086667,24047950800,1,2917,0,2000,1,0,X,0,1,-75.2010993042646,38.4111887274727
240472086671,24047951100,0.0699954,1890,0,1999,1,1,AE,0,1,-75.1440768015971,38.3720052468493
240472086672,24047950700,0.053719,606,0,1989,1,1,X,0,1,-75.16330816624,38.4032556028785
240472086673,24047951700,0.0688705,748,0,1993,1,1,X,1,1,-75.1381048823978,38.293147010982
240472086675,24047950600,0.2780533,1976,0,1999,1,1,X,0,1,-75.1479683403964,38.3888671815735
240472086676,24047951700,0.0702709,748,0,1995,1,1,X,1,1,-75.1382839538023,38.2913744091566
240472086678,24047950800,0.2199954,1288,0,2000,1,0,X,0,1,-75.2216491603731,38.3299608712104
240472086686,24047951100,0.2548209,1338,0,1992,1,1,X,0,1,-75.1478302195956,38.381750761882
240472086687,24047951100,0.1896694,1260,0,2003,1,1,X,0,1,-75.1509866080467,38.3821412973502
240472086688,24047951200,1.5,3528,0,1997,1,0,X,0,1,-75.356072624143,38.2865572702646
240472086690,24047950800,0.4591368,1800,0,1998,1,1,AE,0,1,-75.1203712874899,38.4494072850534
240472086692,24047951700,0.1549587,1602,0,1945,1,0,X,0,1,-75.1089936985272,38.3325569107113
240472086693,24047950700,0.2238292,1460,0,1993,1,0,X,1,1,-75.171724749125,38.3937287622704
240472086694,24047950700,0.0459137,616,0,1989,1,1,X,0,1,-75.1630840270527,38.4026182627001
240472086695,24047951100,0.1483012,1408,0,2002,1,1,X,0,1,-75.154512525718,38.3766291878763
240472086699,24047951100,0.1884068,1995,0,2006,1,1,X,0,1,-75.145256273542,38.3673357136795
240472086700,24047950900,0.35,1568,0,1984,1,0,X,0,1,-75.191923750623,38.3481975496547
240472086701,24047951100,0.3263774,1278,0,1991,1,0,X,0,1,-75.1466363916868,38.3867721839562
240472086705,24047951500,0.1195822,5600,0,1922,1,1,X,1,0,-75.5686685431084,38.0751281291463
240472086707,24047951000,4.4199954,3118,0,1800,1,0,X,0,1,-75.2221376573925,38.3250785178524
240472086710,24047950400,0.1843434,1884,0,1974,1,1,AE,0,1,-75.1184492435539,38.3581336278896
240472086715,24047950700,0.0459137,564,0,1986,1,1,AE,0,1,-75.1626986007371,38.404771289267
240472086716,24047951400,2.4800046,1329,0,1994,1,0,AE,0,1,-75.3612289342773,38.0438629829986
240472086717,24047951100,0.1287879,2587,0,2005,1,0,X,0,1,-75.1583031764351,38.3710255896012
240472086718,24047951700,0.0688705,648,0,1991,1,1,X,1,1,-75.1363349942216,38.2930845637273
240472086721,24047950800,1.8,964,0,1990,1,0,X,0,1,-75.2810148903311,38.383713972085
240472086722,24047951100,0.3984389,3510,0,2016,1,1,AE,0,1,-75.1289298763399,38.3772234591561
240472086728,24047951300,0.0261708,2298,0,1900,0,1,X,0,0,-75.3936591118513,38.1777779568635
240472086732,24047951400,1,1976,0,1970,1,0,X,0,1,-75.5283961568531,38.0666672987942
240472086733,24047950600,0.2114325,1692,0,1997,1,1,AE,0,1,-75.1426093819382,38.3966029030795
240472086734,24047950400,0.3818182,1252,0,1940,1,1,AE,0,1,-75.1004906328355,38.3470685455156
240472086738,24047950800,0.3959596,3046,0,2002,1,1,X,0,1,-75.1104306463676,38.4094620628819
240472086742,24047951100,0.1214646,1688,0,2004,1,1,X,0,1,-75.151967740472,38.3716783905104
240472086748,24047951500,0.2244031,2401,0,1920,1,1,X,1,1,-75.5685084015735,38.071805690082
240472086753,24047951700,0.254247,1437,0,2001,1,1,X,0,1,-75.1139283165385,38.3217011592183
240472086759,24047950600,0.2238292,1232,0,1984,1,0,X,1,1,-75.172485228422,38.3858376084369
240472086760,24047950600,0.2114325,1232,0,1983,1,1,AE,0,1,-75.1506238764348,38.3969466276057
240472086763,24047950600,0.2157254,1709,0,1993,1,1,X,0,1,-75.1604322316341,38.3888697763136
240472086764,24047951700,0.1147842,1012,0,1986,1,1,X,0,1,-75.1038655334024,38.3253780242747
240472086769,24047951100,0.3257805,1624,0,1995,1,1,X,0,1,-75.1570154235419,38.3843059445737
240472086770,24047951100,0.0719467,1784,0,1997,1,1,X,0,1,-75.1290903517831,38.3840522934447
240472086772,24047951100,0.2690083,1262,0,1995,1,0,X,0,1,-75.1569421193467,38.3644699996089
240472086773,24047951100,0.2256198,2237,0,1999,1,0,X,0,1,-75.1454749712675,38.3852072155545
240472086774,24047951100,0.2238292,1471,0,1994,1,1,X,0,1,-75.1572185332433,38.3835008469097
240472086777,24047951200,1,1840,0,1920,1,0,X,0,1,-75.2959393048689,38.2491339410684
240472086780,24047951700,0.1262856,2872,0,2006,1,1,X,1,1,-75.135724270858,38.3005347338048
240472086781,24047950700,0.3736915,2084,0,2000,1,0,X,1,1,-75.1824594994122,38.387950410101
240472086782,24047950700,0.573921,1838,0,1986,1,1,X,1,1,-75.1708366550127,38.399071676512
240472086784,24047951500,0.2012856,1012,0,1975,1,0,X,1,1,-75.5586086376025,38.0735696234794
240472086785,24047950600,0.3005969,1896,0,1990,1,1,X,0,1,-75.1621894503365,38.3883167393427
240472086786,24047951500,0.2066116,2483,0,1950,1,0,X,0,1,-75.5524756910791,38.0651164848536
240472086797,24047951700,0.0706382,768,0,1997,1,1,X,1,1,-75.1376179473246,38.292098627195
240472086802,24047950700,0.573921,2429,0,1986,1,0,X,1,1,-75.1695389097386,38.3976654417195
240472086803,24047951400,64.5199954,3276,0,2004,1,0,X,0,0,-75.6012656859639,38.2693998943121
